"Agency","X..Of.Positions","Business.Title","Civil.Service.Title","Title.Classification","Level","Job.Category","Salary.Range.From","Salary.Range.To","Salary.Frequency","Division.Work.Unit","Minimum.Qual.Requirements","Preferred.Skills","Residency.Requirement","Work.Location","mean.salary","res.requirement","category_cleaned","minqual_cleaned","cleanskill"
"DEPT OF HEALTH/MENTAL HYGIENE",1,"Clerical Associate, Bureau of Communicable Diseases","CLERICAL ASSOCIATE","Competitive-1","03","Clerical & Administrative Support",32086,51981,"Annual","Communicable Diseases","Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.","-	Good writing and verbal communication skills  -	Strong typing skills with speed and accuracy   -	Familiarity with Word, Access, and Excel  -	Experience with entering data into databases from questionnaires or other forms  -	Strong organizational and time management skills","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","42-09 28th Street",42033.5,"generally required","Clerical ","high school","  good writing and verbal communication skills    strong typing skills with speed and accuracy     familiarity with word  access  and excel    experience with entering data into databases from questionnaires or other forms    strong organizational and time management skills"
"DEPT OF DESIGN & CONSTRUCTION",1,"Junior Project Manager","PROJECT MANAGER INTERN#","Competitive-1","00","Engineering, Architecture, & Planning",51535,59265,"Annual","PUB BLDGS/CPD/Sanitation","1. A baccalaureate degree from an accredited college or university in engineering, architecture, landscape architecture, business administration, or public administration; or  2. A masters degree in architecture that is the first professional degree in architecture  from an accredited college or university.","Candidate should possess excellent organizational, verbal and written skills, with the ability to multi-task various projects. Proficiency in Microsoft Office is preferred.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","30-30 Thomson Ave L I City Qns",55400,"generally required","Engineering","master degree","candidate should possess excellent organizational  verbal and written skills  with the ability to multi task various projects  proficiency in microsoft office is preferred "
"DEPT OF YOUTH & COMM DEV SRVS",1,"College Aide-Quality Assurance (QA) Analyst","COLLEGE AIDE - ASSIGNMENT LEVE","Non-Competitive-5","02","Technology, Data & Innovation",16.02,20.72,"Hourly","Information Technology","For Assignment Level I: Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school. For Assignment Level II (Information Technology): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study. For Assignment Level III (Information Technology Fellow): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.  SPECIAL NOTE Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.","â¢ TFS, JIRA, ServiceNow or other similar tools for Test case and Defect Management.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","2 Lafayette St., N.Y.",18.37,"generally required","Technology","college degree","    tfs  jira  servicenow or other similar tools for test case and defect management "
"MANHATTAN COMMUNITY BOARD #1",1,"Community Associate","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Constituent Services & Community Programs",42500,49000,"Annual","Manhattan Community Board #1","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","Â¿	Experience or demonstrated interest in government, public policy, and/or urban affairs Â¿	Experience in research and / or community development Â¿	Experience or willingness to learn online research regarding urban populations and statistics, especially experience using or willingness to learn Census data, NYC Open Data, and/or ACRIS or BIS data for land use and buildings Â¿	Excellent written and verbal communications skills Â¿	Excellent computer and web skills  Â¿	Experience working with database services such as Airtable Â¿	Experience with MS Office, Google Docs, social media, WordPress, and other digital collaboration and translation tools Â¿	Excellent organizational, analytical, and critical thinking skills  Â¿	Experience in working with community groups or small teams  Â¿	Detailed oriented and accustomed to proof-reading and editing work Â¿	Enjoys interacting with people daily and able to maintain pleasant or diplomatic demeanor in difficult situations Â¿	Ability to adapt to change in a fast-paced environment, and enjoys being part of a team  Â¿	Passionate about public service and helping others Â¿	Knowledge of or willingness to learn NYC regulatory policies","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","1 Centre Street",45750,"generally required","Constituent Services ","high school","   experience or demonstrated interest in government  public policy  and or urban affairs    experience in research and   or community development    experience or willingness to learn online research regarding urban populations and statistics  especially experience using or willingness to learn census data  nyc open data  and or acris or bis data for land use and buildings    excellent written and verbal communications skills    excellent computer and web skills     experience working with database services such as airtable    experience with ms office  google docs  social media  wordpress  and other digital collaboration and translation tools    excellent organizational  analytical  and critical thinking skills     experience in working with community groups or small teams     detailed oriented and accustomed to proof reading and editing work    enjoys interacting with people daily and able to maintain pleasant or diplomatic demeanor in difficult situations    ability to adapt to change in a fast paced environment  and enjoys being part of a team     passionate about public service and helping others    knowledge of or willingness to learn nyc regulatory policies"
"MAYORS OFFICE OF CONTRACT SVCS",1,"Analyst, Audit (Non-Profit Initiatives)","RESEARCH PROJECTS COORDINATOR","Pending Classification-2","00","Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",50000,60000,"Annual","Chief Strategy Office","1. Graduation from an accredited college with a baccalaureate degree; or                                                                                     2. Graduation from an accredited community college plus two years of experience with administrative, analytic, coordinative, supervisory or liaison responsibilities; or           3. A four year high school diploma or its educational equivalent plus four years of experience as described in 2 above; or                                              4. A satisfactory equivalent combination of education and experience.","â¢	Data Analysis. Experience with collecting data and analyzing data to see trends and extrapolate conclusions, opportunities for improvement and successes.    â¢	Computer Skills.  Familiarity with computer and online applications, including Microsoft Excel and PowerPoint.    â¢	City Databases: Proficiency using, obtaining and analyzing data from City databases including FMS, PASSPort, HHS Accelerator and Checkbook.  â¢	Experience with project management tools and processes including gant charts, resource allocation, task assignment, due date tracking, etc.  â¢	Familiarity with financial reports, accounting documents and audit work papers, contract invoices and payment, from nonprofits.    â¢	Communication Skills. Ability to succinctly and effectively communicate verbally and in writing across internal and external stakeholder communities, including the presentation of data analyses.  â¢	Sound judgment and appropriate discretion when engaging with varied stakeholders.  â¢	Reliable.  Ability to meet deadlines and work independently in a fast-paced environment, while paying close attention to details  â¢	Collaborative and positive attitude; flexibility in a fast moving and evolving office and division.  â¢	Experience in City contracting, or human services is preferred.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.  See DCAS Directive No. 2020-2 (https://www1.nyc.gov/assets/dcas/downloads/pdf/agencies/directive_2020_2.pdf) regarding residency requirement during the COVID-19 emergency.","255 Greenwich Street",55000,"generally required","Communications ","college degree","    data analysis  experience with collecting data and analyzing data to see trends and extrapolate conclusions  opportunities for improvement and successes         computer skills   familiarity with computer and online applications  including microsoft excel and powerpoint         city databases  proficiency using  obtaining and analyzing data from city databases including fms  passport  hhs accelerator and checkbook       experience with project management tools and processes including gant charts  resource allocation  task assignment  due date tracking  etc       familiarity with financial reports  accounting documents and audit work papers  contract invoices and payment  from nonprofits         communication skills  ability to succinctly and effectively communicate verbally and in writing across internal and external stakeholder communities  including the presentation of data analyses       sound judgment and appropriate discretion when engaging with varied stakeholders       reliable   ability to meet deadlines and work independently in a fast paced environment  while paying close attention to details      collaborative and positive attitude  flexibility in a fast moving and evolving office and division       experience in city contracting  or human services is preferred "
"DEPT OF PARKS & RECREATION",40,"City Park Worker","CITY PARK WORKER","Labor-3","00","Building Operations & Maintenance",34716,39923,"Annual","BX BORO COMMISSIONER","Qualification Requirements  1. There are no formal education or experience requirements for this position.     2. A Motor Vehicle Driver's License valid in the State of New York is required.     3. Ability to read and to understand and obey orders is required.     4. There are certain medical and physical requirements.","1. 	Ability to drive to locations in all five boroughs.  2. 	Ability to work flexible hours, nights and weekends as needed.","Residency in New York City, Nassau, Orange, Rockland, Suffolk, Putnam or Westchester counties required for employees with over two years of city service. New York City residency required within 90 days of hire for all other candidates.","Bronx Hdqt., 1 Bx Rvr Pkwy., B",37319.5,"generally required","Building Operations ","relative experience required","    ability to drive to locations in all five boroughs       ability to work flexible hours  nights and weekends as needed "
"DEPARTMENT OF CORRECTION",9,"Cook","COOK","Non-Competitive-5","00","Health",36627,41388,"Annual","Nutritional Services","1. Two years of cooking experience. There are no formal educational requirements.  However, candidates must be able to speak, read and write English and carry out simple instructions.    2. For Department of Correction and Department of Juvenile Justice only  One year of experience in a correctional facility assisting in the cooking and preparation of food and performing related functions under the supervision of a Cook.","Qualifying Certificate in Food Protection issued by the New York City Department of Health and Mental Hygiene required.  Previous work experience in a restaurant, school, or other large-scale food operation.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","Rikers Island",39007.5,"generally required","Health","relative experience required","qualifying certificate in food protection issued by the new york city department of health and mental hygiene required   previous work experience in a restaurant  school  or other large scale food operation "
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Transit (MTA and TLC)","BUDGET ANALYST (OMB)","Pending Classification-2","02","Finance, Accounting, & Procurement Policy, Research & Analysis",65604,83399,"Annual","Infra, Librar. And Cultural","1. A baccalaureate degree from an accredited college.","QUALIFICATIONS:  â¢	Demonstrated quantitative and analytical skills, including ability to use Excel formulas and pivot tables â¢	Excellent written, verbal, and interpersonal communication skills â¢	Resourceful problem-solver who seeks out answers to complex questions proactively â¢	Positive team player committed to achieving both personal and shared goals â¢	Must be able to work evenings and weekends as needed","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",74501.5,"generally required","Finance","college degree","qualifications       demonstrated quantitative and analytical skills  including ability to use excel formulas and pivot tables     excellent written  verbal  and interpersonal communication skills     resourceful problem solver who seeks out answers to complex questions proactively     positive team player committed to achieving both personal and shared goals     must be able to work evenings and weekends as needed"
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Property and Aggregate Revenue","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Policy, Research & Analysis",51550,65604,"Annual","Tax Policy","1. A baccalaureate degree from an accredited college.","QUALIFICATIONS:  â¢	Microsoft Office computer skills are required. â¢	Strong analytic and quantitative skills are required. â¢	Must be able to complete challenging assignments, provide creative solutions, and be comfortable working with data and models. â¢	Demonstrated strength in analytic and quantitative skills. â¢	Experience working with, developing, or administering databases or file management systems. â¢	Strong written and spoken communication skills.  â¢	Detail-oriented and able to work with limited supervision. â¢	Ability to work effectively both individually and in a team environment with other analysts. â¢	Ability to prioritize tasks and meet deadlines. â¢	Availability to work late nights and weekends on a limited basis with advanced notice.  DESIRED SKILLS:  Candidate should have knowledge of economics, strong analytical skills, competency in Microsoft Office, and an understanding of statistical software, or eager to learn (Eviews/Stata/Spss) and a sincere interest in working for New York City.   A sincere interest in government is desirable. A Bachelorâs degree in Economics or other quantitative subject is preferred.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",58577,"generally required","Finance","college degree","qualifications       microsoft office computer skills are required      strong analytic and quantitative skills are required      must be able to complete challenging assignments  provide creative solutions  and be comfortable working with data and models      demonstrated strength in analytic and quantitative skills      experience working with  developing  or administering databases or file management systems      strong written and spoken communication skills       detail oriented and able to work with limited supervision      ability to work effectively both individually and in a team environment with other analysts      ability to prioritize tasks and meet deadlines      availability to work late nights and weekends on a limited basis with advanced notice   desired skills   candidate should have knowledge of economics  strong analytical skills  competency in microsoft office  and an understanding of statistical software  or eager to learn  eviews stata spss  and a sincere interest in working for new york city    a sincere interest in government is desirable  a bachelor   s degree in economics or other quantitative subject is preferred "
"DEPT OF ENVIRONMENT PROTECTION",11,"CIVIL ENGINEERING INTERN","CIVIL ENGINEERING INTERN","Competitive-1","00","Engineering, Architecture, & Planning",51413,59125,"Annual","CAP. PLAN. - ADMIN.,BLUEBELT","1. A baccalaureate degree in civil engineering from an accredited college. A degree in any other engineering area or in civil engineering technology is not acceptable.","â¢ Experience using Microsoft Office, expertise in Excel is preferred. â¢ GIS and AutoCAD skills preferred â¢ Ability to handle multiple priorities and projects simultaneously. â¢ Excellent communication skills both written and oral. Be able to write professionally. â¢ Problem solving skills, and make independent decisions.  â¢ Leadership skills and be able to direct and lead. â¢ Self-motivated individual to take initiative and execute task. â¢ Valid driverâs license","New York City Residency is not required for this position","59-17 Junction Blvd Corona Ny",55269,"not required","Engineering","college degree","    experience using microsoft office  expertise in excel is preferred      gis and autocad skills preferred     ability to handle multiple priorities and projects simultaneously      excellent communication skills both written and oral  be able to write professionally      problem solving skills  and make independent decisions       leadership skills and be able to direct and lead      self motivated individual to take initiative and execute task      valid driver   s license"
"NYC HOUSING AUTHORITY",1,"CARETAKER  P","CARETAKER (HA)","Labor-3","00","Building Operations & Maintenance",31836,46278,"Annual","Manhattan Property Management","Qualification Requirements  There are no formal education or experience requirements for this position.",NA,"NYCHA has no residency requirements.","Manhattan Floating Staff",39057,"not required","Building Operations ","relative experience required",NA
"NYC HOUSING AUTHORITY",16,"Resident Communications Associate","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Building Operations & Maintenance Public Safety, Inspections, & Enforcement",38333,63794,"Annual","Mold Asmt & Remediation","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","1. Extensive understanding of NYCHA, and its residents (Preference will be given to NYCHA residents); 2. Demonstrated ability to communicate clearly and effectively; 3. Knowledge of property management operations, processes and structure; 4. Ability to learn systems and mobile phone applications quickly; 5. Ability to work in a high-volume and high-pressure environment 6. Bilingual","NYCHA has no residency requirements.","Mold ASMT & Remediation-DIR",51063.5,"not required","Building Operations ","high school","   extensive understanding of nycha  and its residents  preference will be given to nycha residents      demonstrated ability to communicate clearly and effectively     knowledge of property management operations  processes and structure     ability to learn systems and mobile phone applications quickly     ability to work in a high volume and high pressure environment    bilingual"
"DEPARTMENT OF TRANSPORTATION",1,"Database Developer","IT AUTOMATION AND MONITORING E","Non-Competitive-5","00","Technology, Data & Innovation",75000,130000,"Annual","IT & Telecom","1. A baccalaureate degree in computer science, engineering or a related field from an accredited college and four years of satisfactory full-time experience related to IT automation engineering, monitoring engineering, management of infrastructure; or  2. Eight years of satisfactory full-time experience related to IT automation engineering, monitoring engineering, management of infrastructure;  3. Education and/or experience which is equivalent to 1 or 2 above.","4 years of experience in application data modeling and MS-SQL Server administration/utilities/ tools; Microsoft Database Developer certification; proficiency in supporting MS-SQL Server 2017/2019 databases in high availability environments with intimate knowledge of SQL/T-SQL; demonstrated knowledge of designing/ developing/ integrating databases, data warehouses and multidimensional databases in MS-SQL Server; ability to write and optimize complex SQL queries, procedures and functions; familiarity with SSRS, SSAS, SSIS and data warehousing concepts; experience with database replication techniques.","New York City Residency is not required for this position","55 Water St Ny Ny",102500,"not required","Technology","college degree","  years of experience in application data modeling and ms sql server administration utilities  tools  microsoft database developer certification  proficiency in supporting ms sql server           databases in high availability environments with intimate knowledge of sql t sql  demonstrated knowledge of designing  developing  integrating databases  data warehouses and multidimensional databases in ms sql server  ability to write and optimize complex sql queries  procedures and functions  familiarity with ssrs  ssas  ssis and data warehousing concepts  experience with database replication techniques "
"DEPARTMENT OF CORRECTION",4,"Legal Coordinator","LEGAL COORDINATOR","Competitive-1","00","Legal Affairs",47418,54531,"Annual","Office of Trials","1. A law degree from a law school accredited by the American Bar Association; or    2. A baccalaureate degree from an accredited college or university  and six months of full time satisfactory experience providing legal services assistance to defendants, offenders, ex-offenders or plaintiffs; or     3. An associate degree from an accredited college or university or completion of 60 semester credits from an accredited college or university  and two years of full time satisfactory experience as described in 2 above; or     4. A satisfactory combination of education and experience which is equivalent to 2or 3 above. College credit may be substituted for experience on the basis of 30 semester credit hours from an accredited college or university for 9 months of experience. Paralegal certification obtained from an accredited program or from a program approved by the American Bar Association can be substituted for an associate degree and 6 months of experience.                               However, to satisfy the education requirement and qualify under this section 4, candidates must have at least an associate degree, 60 semester credits or paralegal certification. The amount of experience required to qualify under this section 4 depends upon the candidate's education; however, no candidate may qualify under this section 4 with less than 6 months  of full time satisfactory experience as described in2above.    Experience in providing legal services assistance to defendants, offenders, ex-offenders or plaintiffs must have included both  a. Obtaining legal information through the use of United States Federal, State and local Statutes, Reporters, Digests, and Shepard' Citations; and  b. The preparation and filing of writs and motions with various United States Federal, State and local courts of record.","â¢  Experience in handling multiple assignments with competing deadlines with a high degree of detail     and accuracy. â¢  One year of full-time satisfactory experience acquired in the United States, in the performance of     paralegal (legal assistant) services. â¢  Paralegal Certification obtained in the United States from an accredited program or a program     approved by the American Bar   Association.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","75-20 Astoria Blvd",50974.5,"generally required","Legal Affairs","college degree","     experience in handling multiple assignments with competing deadlines with a high degree of detail     and accuracy       one year of full time satisfactory experience acquired in the united states  in the performance of     paralegal  legal assistant  services       paralegal certification obtained in the united states from an accredited program or a program     approved by the american bar   association "
"NYC HOUSING AUTHORITY",1,"Business Analyst","ECONOMIST","Competitive-1","02","Policy, Research & Analysis",56013,84862,"Annual","Performance Tracking & Anlys","1. A master's degree from an accredited college or university  in economics, statistics, finance, management, business administration, public administration, public policy or related field; or    2. A baccalaureate degree from an accredited college or university, including or supplemented by 24 semester credits in one or more of the course areas of economics, statistics,  finance, management, mathematics, business administration, public administration, and public policy, 12 semester credits of which must have been in economics; and one year of satisfactory full-time experience in one or more of the  fields of finance; economic, fiscal or statistical research; policy analysis; or quantitative, business, market or financial analysis. Graduate semester credits in any of the areas described in 1 above may be substituted for the undergraduate  semester credits on the basis that each 3 graduate semester credits may be substituted for 6 of the required undergraduate semester credits.    Special Note  To be eligible for placement in Assignment Level II individuals must have, in addition to meeting the minimum requirements, at least one additional year of full-time experience listed in 2 above.    Special Note   To be eligible for placement in Assignment Level III individuals must have, in addition to meeting the minimum requirements, at least two additional years of full-time experience listed in 2 above.","1.	Strong database management skills using mainframe and PC applications (SAS, MS Access, Excel).  Familiarity with large databases and programming systems including encoding, testing, debugging and documenting programs. 2.	Excellent verbal and written communication skills, including the ability to interface well with management and colleagues. 3.	Highly organized with the ability to work under stringent deadlines, independently manage multiple assignments under deadline pressures and handle sensitive information. 4.	Strong skills in time management and setting priorities. 5.	Ability to work independently and in a team environment as dictated by the project.","NYCHA has no residency requirements.","Perf Tracking and Analytics",70437.5,"not required","Policy","master degree","   strong database management skills using mainframe and pc applications  sas  ms access  excel    familiarity with large databases and programming systems including encoding  testing  debugging and documenting programs     excellent verbal and written communication skills  including the ability to interface well with management and colleagues     highly organized with the ability to work under stringent deadlines  independently manage multiple assignments under deadline pressures and handle sensitive information     strong skills in time management and setting priorities     ability to work independently and in a team environment as dictated by the project "
"DEPT OF HEALTH/MENTAL HYGIENE",1,"City Research Scientist II / NY Knows Project Officer, Bureau of Hepatitis, HIV, and STI","CITY RESEARCH SCIENTIST","Non-Competitive-5","02","Health Policy, Research & Analysis",75504,94761,"Annual","STI Programs","1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to 1 or 2 above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in 2 above. Two years as a City Research Scientist Level I can be substituted for the experience required in 1 and 2 above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.","â¢ Strong interpersonal skills, and the ability to work with a variety of people including healthcare providers, faith leaders, and community members.  â¢ Professional working knowledge relating to HIV and the history of the epidemic, scientific research and advancement trends, epidemiological profile, transmission, prevention treatment, and associated sociopolitical issues.  â¢ Ability to lift up to 30 pounds.  â¢ Have a valid driver's license.  â¢ Availability to work evenings and weekends for community events as needed.   â¢ Experience working with contracted agencies and providing capacity building assistance.  â¢ Highly organized, with the ability to work on multiple projects concurrently.  â¢ Exhibit proficiency in Word, Excel, and Access.   â¢ Professional working experience with Salesforce is also highly encouraged.  â¢ Strong comfort level in navigating within and among diverse and inclusive, equity based organizations, communities, institutions and groups with competing priorities.  â¢ Knowledge of social media and community engagement strategies are a plus.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","42-09 28th Street",85132.5,"generally required","Health","master degree","    strong interpersonal skills  and the ability to work with a variety of people including healthcare providers  faith leaders  and community members       professional working knowledge relating to hiv and the history of the epidemic  scientific research and advancement trends  epidemiological profile  transmission  prevention treatment  and associated sociopolitical issues       ability to lift up to    pounds       have a valid driver s license       availability to work evenings and weekends for community events as needed        experience working with contracted agencies and providing capacity building assistance       highly organized  with the ability to work on multiple projects concurrently       exhibit proficiency in word  excel  and access        professional working experience with salesforce is also highly encouraged       strong comfort level in navigating within and among diverse and inclusive  equity based organizations  communities  institutions and groups with competing priorities       knowledge of social media and community engagement strategies are a plus "
"MANHATTAN COMMUNITY BOARD #8",1,"Community Associate","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Constituent Services & Community Programs",42500,42500,"Annual","Manhattan Community Board #8","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","â¢	BA or BS degree â¢	Experience or demonstrated interest in government, public policy, and urban affairs â¢	Experience in research and / or community development â¢	Excellent written and verbal communications skills â¢	Excellent computer and web skills â¢	Experience with MS Office, Google Docs, social media, WordPress, and other digital collaboration tools â¢	Excellent organizational, analytical, and critical thinking skills â¢	Experience in working with community groups or small team â¢	Detailed oriented, enjoy interacting with people daily â¢	Ability to adapt to change in a fast-paced environment, like being part of a team â¢	Passionate about public service and helping others â¢	Knowledge of Land Use, Vendor and Zoning regulations","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","505 Park Avenue",42500,"generally required","Constituent Services ","high school","    ba or bs degree     experience or demonstrated interest in government  public policy  and urban affairs     experience in research and   or community development     excellent written and verbal communications skills     excellent computer and web skills     experience with ms office  google docs  social media  wordpress  and other digital collaboration tools     excellent organizational  analytical  and critical thinking skills     experience in working with community groups or small team     detailed oriented  enjoy interacting with people daily     ability to adapt to change in a fast paced environment  like being part of a team     passionate about public service and helping others     knowledge of land use  vendor and zoning regulations"
"DEPT OF HEALTH/MENTAL HYGIENE",1,"City Mortuary Technician","City Mortuary Technician","Labor-3","00","Health",38811,44633,"Annual","OCME - Mortuary Operations","There are no formal education or experience requirements for this position.","Computer familiarity desired.  Experience working in a Mortuary and/or experience in patient transportation.  							 SPECIAL NOTE 1.	Selected candidates will be required to provide a DNA sample by swabbing. 2.	This position has been identified as âessential.â During ALL weather & emergency events, âessentialâ positions may require 24-hour availability. 3.     Selected candidates must work 20 hours/week in order to be eligible for Health Benefits coverage.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","520 1St Ave., N.Y.",41722,"generally required","Health","relative experience required","computer familiarity desired   experience working in a mortuary and or experience in patient transportation           special note    selected candidates will be required to provide a dna sample by swabbing     this position has been identified as    essential     during all weather   emergency events     essential    positions may require    hour availability         selected candidates must work    hours week in order to be eligible for health benefits coverage "
"DEPARTMENT OF CORRECTION",4,"Legal Coordinator","LEGAL COORDINATOR","Competitive-1","00","Legal Affairs",47418,54531,"Annual","Office of Trials","1. A law degree from a law school accredited by the American Bar Association; or    2. A baccalaureate degree from an accredited college or university  and six months of full time satisfactory experience providing legal services assistance to defendants, offenders, ex-offenders or plaintiffs; or     3. An associate degree from an accredited college or university or completion of 60 semester credits from an accredited college or university  and two years of full time satisfactory experience as described in 2 above; or     4. A satisfactory combination of education and experience which is equivalent to 2or 3 above. College credit may be substituted for experience on the basis of 30 semester credit hours from an accredited college or university for 9 months of experience. Paralegal certification obtained from an accredited program or from a program approved by the American Bar Association can be substituted for an associate degree and 6 months of experience.                               However, to satisfy the education requirement and qualify under this section 4, candidates must have at least an associate degree, 60 semester credits or paralegal certification. The amount of experience required to qualify under this section 4 depends upon the candidate's education; however, no candidate may qualify under this section 4 with less than 6 months  of full time satisfactory experience as described in2above.    Experience in providing legal services assistance to defendants, offenders, ex-offenders or plaintiffs must have included both  a. Obtaining legal information through the use of United States Federal, State and local Statutes, Reporters, Digests, and Shepard' Citations; and  b. The preparation and filing of writs and motions with various United States Federal, State and local courts of record.","â¢  Experience in handling multiple assignments with competing deadlines with a high degree of detail     and accuracy. â¢  One year of full-time satisfactory experience acquired in the United States, in the performance of     paralegal (legal assistant) services. â¢  Paralegal Certification obtained in the United States from an accredited program or a program     approved by the American Bar   Association.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","75-20 Astoria Blvd",50974.5,"generally required","Legal Affairs","college degree","     experience in handling multiple assignments with competing deadlines with a high degree of detail     and accuracy       one year of full time satisfactory experience acquired in the united states  in the performance of     paralegal  legal assistant  services       paralegal certification obtained in the united states from an accredited program or a program     approved by the american bar   association "
